GameID,TeamID,PlayerID,Extra_Information,Color_Dot
G52,D3,5,MISSES NEXT MATCH IF BOOKED,Yellow
G52,D3,13,MISSES NEXT MATCH IF BOOKED,Yellow
G52,D3,20,MISSES NEXT MATCH IF BOOKED,Yellow
G52,C4,8,MISSES NEXT MATCH IF BOOKED,Yellow
G52,C4,13,MISSES NEXT MATCH IF BOOKED,Yellow
G52,C4,23,MISSES NEXT MATCH IF BOOKED,Yellow
G52,D3,16,ABSENT,WHITE
G53,E1,5,MISSES NEXT MATCH IF BOOKED,Yellow
G53,E1,10,MISSES NEXT MATCH IF BOOKED,Yellow
G53,E1,11,MISSES NEXT MATCH IF BOOKED,Yellow
G53,F2,16,MISSES NEXT MATCH IF BOOKED,Yellow
G53,F2,23,MISSES NEXT MATCH IF BOOKED,Yellow
G53,F2,7,MISSES NEXT MATCH IF BOOKED,Yellow
G53,F2,15,SUSPENDED,Red
G53,E1,7,ABSENT,WHITE
G54,G1,5,MISSES NEXT MATCH IF BOOKED,Yellow
G54,G1,7,MISSES NEXT MATCH IF BOOKED,Yellow
G54,G1,15,MISSES NEXT MATCH IF BOOKED,Yellow
G54,G1,17,MISSES NEXT MATCH IF BOOKED,Yellow
G54,G1,23,MISSES NEXT MATCH IF BOOKED,Yellow
G54,H4,1,MISSES NEXT MATCH IF BOOKED,Yellow
G54,H4,14,MISSES NEXT MATCH IF BOOKED,Yellow
G54,H4,17,MISSES NEXT MATCH IF BOOKED,Yellow
G54,H4,20,MISSES NEXT MATCH IF BOOKED,Yellow
G55,F3,2,MISSES NEXT MATCH IF BOOKED,Yellow
G55,F3,8,MISSES NEXT MATCH IF BOOKED,Yellow
G55,F3,17,MISSES NEXT MATCH IF BOOKED,Yellow
G55,F3,7,SUSPENDED,Red
G55,E2,11,MISSES NEXT MATCH IF BOOKED,Yellow
G55,E2,23,MISSES NEXT MATCH IF BOOKED,Yellow
G55,E2,17,MISSES NEXT MATCH IF BOOKED,Yellow
G55,E2,2,SUSPENDED,Red
G55,E2,22,SUSPENDED,Red
G56,H3,5,MISSES NEXT MATCH IF BOOKED,Yellow
G56,H3,17,MISSES NEXT MATCH IF BOOKED,Yellow
G56,H3,10,ABSENT,WHITE
G56,H3,19,ABSENT,WHITE
G56,G4,2,MISSES NEXT MATCH IF BOOKED,Yellow
G56,G4,21,MISSES NEXT MATCH IF BOOKED,Yellow
G56,G4,17,ABSENT,WHITE
G57,A4,6,MISSES NEXT MATCH IF BOOKED,Yellow
G57,A4,21,INJURED,Purple
G57,C1,2,MISSES NEXT MATCH IF BOOKED,Yellow
G57,C1,6,MISSES NEXT MATCH IF BOOKED,Yellow
G57,C1,9,MISSES NEXT MATCH IF BOOKED,Yellow
G57,C1,12,MISSES NEXT MATCH IF BOOKED,Yellow
G57,C1,14,SUSPENDED,Red
G58,E1,10,MISSES NEXT MATCH IF BOOKED,Yellow
G58,E1,11,MISSES NEXT MATCH IF BOOKED,Yellow
G58,E1,6,MISSES NEXT MATCH IF BOOKED,Yellow
G58,E1,5,SUSPENDED,Red
G58,E1,14,ABSENT,WHITE
G58,G1,5,MISSES NEXT MATCH IF BOOKED,Yellow
G58,G1,7,MISSES NEXT MATCH IF BOOKED,Yellow
G58,G1,15,MISSES NEXT MATCH IF BOOKED,Yellow
G58,G1,17,MISSES NEXT MATCH IF BOOKED,Yellow
G58,G1,23,MISSES NEXT MATCH IF BOOKED,Yellow
G59,A1,3,MISSES NEXT MATCH IF BOOKED,Yellow
G59,A1,11,MISSES NEXT MATCH IF BOOKED,Yellow
G59,A1,17,MISSES NEXT MATCH IF BOOKED,Yellow
G59,A1,8,MISSES NEXT MATCH IF BOOKED,Yellow
G59,A1,10,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,2,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,7,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,17,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,18,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,5,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,11,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,13,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,20,MISSES NEXT MATCH IF BOOKED,Yellow
G59,D3,16,ABSENT,WHITE
G60,F3,8,MISSES NEXT MATCH IF BOOKED,Yellow
G60,F3,17,MISSES NEXT MATCH IF BOOKED,Yellow
G60,F3,2,SUSPENDED,Red
G60,G4,2,MISSES NEXT MATCH IF BOOKED,Yellow
G60,G4,7,MISSES NEXT MATCH IF BOOKED,Yellow
G60,G4,8,MISSES NEXT MATCH IF BOOKED,Yellow
G60,G4,21,MISSES NEXT MATCH IF BOOKED,Yellow
G61,G1,15,SUSPENDED,Red
G62,D3,16,ABSENT,WHITE
G64,D3,16,ABSENT,WHITE
